N,T1,T2,alt,dp1,dp1_dot,dp2,dp2_dot,dy1,dy1_dot,dy2,dy2_dot,family,iters,lands,margin,outcome,p,phi,plant,pos_err,psi,q,r,rate_deg,sample,theta,tilt_deg,u,v,v_horiz,v_vert,w,wall,x_E,y_E,y_eng
44,7323.295364901423,11725.070190280676,591.0008524544537,-2.960675653070212,-3.695807245373727,2.083216018974782,5.592300090193749,-1.1639256700873375,10.113722142577174,0.7010002322494984,13.04267325103283,thrust_eff,64,True,0.6014708729514512,land,14.869837975129485,-22.763466089963913,eta15_y0.25,0.02813569250587322,-22.990580424666405,10.56281286291778,17.165024438872933,0.9170976537003417,33,-5.84132862277329,1.4923524189014306,-4.008644060231745,-3.1731102615594864,0.01501544909695846,1.8044126188543537,24.100425692275167,16.321990966796875,370.1887182891369,-650.1487199217081,0.25
67,15328.511490523815,21357.640474662185,1183.2366828806698,5.1390844881534585,8.427040323615074,-1.6955501921474934,-13.055064412951472,3.302222192287446,-8.601698049902918,-1.1714860908687115,-12.260209634900095,thrust_eff,150,True,0.6010606531897448,land,-3.1803651247173548,2.5619360152632,eta15_y0.25,0.004951128697839016,27.11550161242485,-9.549534833058715,-8.375059487298131,0.2042836141644186,34,18.7386489007622,0.24710351994477184,-17.517072982154787,11.004933714866638,0.002183872268400268,1.8031819595692344,6.421322027221322,53.560821771621704,-355.23930564522743,663.4941514581442,0.25
47,22328.18064287305,5974.281185418367,681.5406174398959,-1.6187670081853867,-14.376739025115969,-5.753404028713704,11.998793148994448,-4.796805549412967,0.6960002213716514,2.1289556957781324,4.729144656658175,thrust_eff,80,True,0.6012596162195594,land,20.40802938863635,-9.403406688943505,eta15_y0.25,0.005350924006299201,18.782985135912895,-7.016806863248348,-3.6386726424098015,0.1732188996093065,35,7.61060263030231,0.2694073705486094,-8.964815214276314,-0.3004319965839386,0.0023402782114059334,1.803778848658678,10.821943660266697,22.76301097869873,-267.5803665071726,-312.59431801736355,0.25
69,10448.555554822087,15603.003060147166,1223.8208175636828,5.250706840306521,2.4719795107841485,5.386153366416694,-5.298918002843857,2.6694799549877652,-2.220219996571542,-2.783828850835562,-5.975224292278291,thrust_eff,105,True,0.6010806198444412,land,-10.174246225506067,14.395353477448225,eta15_y0.25,0.005452016380612122,-11.035020649433136,7.248849701136351,21.803731378167868,0.2003784658702989,36,-19.712906843051314,0.2772438313750668,4.870471702888608,8.208291605114937,0.0025663022631954024,1.8032418595333235,20.21365210134536,39.542200565338135,226.25607512891293,326.04876793920994,0.25
61,5403.085619807243,18227.33062312007,1020.9001062437892,2.2621733285486707,9.922508856654169,-2.493943423032761,-12.297469970583919,-2.9401854760944848,12.832846158742907,-3.6561961323022847,12.29233386218548,thrust_eff,115,True,0.6012383624157166,land,5.1113075111061335,4.953426448628306,eta15_y0.25,0.005900371157481323,21.224123015999794,-21.959716035053134,-12.694247951731086,0.30914162785424676,37,12.681209482252598,0.31981547144633476,-6.471205148845911,-11.556108087301254,0.004092637428104683,1.80371508724715,3.1978269638493657,38.635292291641235,-523.8115472719073,749.6201729401946,0.25
70,12913.448968604207,20706.54801517725,1360.8512761071324,4.115590743720532,14.205173403024677,0.9574084393680096,7.338603901863099,-0.07800287380814552,8.116343691945076,1.0841007828712463,0.7363070100545883,thrust_eff,119,True,0.6010516009458978,land,-0.9082040283828974,-12.894184421747923,eta15_y0.25,0.00578823293166941,-31.766144409775734,13.112109247595072,-21.796930627897382,0.22863155786320183,38,-12.368333665654063,0.28656592663147346,-2.7622711891308427,-6.155288457870483,0.0023524389986862904,1.8031548028376934,3.7139815045520663,44.65666174888611,-727.8689162805676,-547.6094149053097,0.25
53,4552.1855445206165,11069.18113000691,819.2416103556752,-0.24753614142537117,-2.302116876840591,-1.3224677368998528,-0.5086506307125092,4.456032279878856,-10.542814376950265,-0.054410845041275024,-2.8819815784692775,thrust_eff,70,True,0.6010566924249356,land,17.343730991706252,11.637756181880832,eta15_y0.25,0.004873424325664105,38.420665860176086,-13.63709643483162,3.6334919277578592,0.18555454633501578,39,24.470649799332023,0.24429108460591525,-23.14298482146114,1.9755033105611801,0.002188909569890565,1.803170077274807,27.321643638424575,21.906185388565063,686.6198373958468,561.0714890062809,0.25
55,17988.634710907936,13044.72309269011,883.7359686382115,1.1039853170514107,5.800206854939461,-3.9256780296564107,0.3854255765676502,0.3695538081228733,-4.6726256847381595,4.581388045102359,-10.6684232711792,thrust_eff,106,True,0.601092571937942,land,8.321040868759155,-3.6959747318178415,eta15_y0.25,0.005353931170703079,1.5673728287220001,-4.3582511600106955,12.650777958333492,0.22366424867823442,40,5.335206165909767,0.27111308793616107,9.91148826200515,10.256081745028496,0.0024731809700653316,1.8032777158138258,19.698567460291088,30.85856533050537,97.28994369506836,-64.21820428222418,0.25
34,9587.107338532805,3395.9358030557632,342.6500369794667,-3.235524538904429,-10.095337638258936,4.307689402252437,-7.967776939272881,-4.18439406529069,6.761926764249804,-5.6114456467330465,7.397336554527286,thrust_eff,79,False,4.531478394265381,gate_miss,-23.230120167136192,20.993900205940008,eta15_y0.25,0.4094621968693541,-8.231330439448357,3.247325448319316,-12.065462488681078,6.893290769829973,41,-17.43903672322631,27.188870365592287,-14.006765787489712,-5.425612986087799,2.185892568128655,11.881754133741394,-4.131659862585366,15.440535545349121,-84.09505784511566,77.56969425827265,0.25
70,16149.521132409573,7521.703257411718,1238.4309377521276,-5.455043926835061,11.545185068249705,-3.5042988695204262,-4.3462434142827995,2.474756721407176,3.510852652788163,3.560406558215619,14.185972005128864,thrust_eff,79,True,0.6011081407231699,land,9.56645030528307,6.989066489040852,eta15_y0.25,0.00544547483304654,-14.715143963694572,4.948598751798272,-22.403876250609756,0.2000153473276473,42,3.6655712872743607,0.276944254517323,-4.478238048031926,5.707261651754379,0.0025635761247583978,1.8033244221695097,26.706341959536076,34.136621952056885,-24.30139370262623,-6.207999587059021,0.25
46,6524.3772833794355,17812.882407531142,662.3294349759817,1.820191640406847,-1.4262533515691764,3.121754430234433,11.14982976615429,-4.988782826811076,-1.1983089566230767,-4.4057151451706895,-10.918401235342028,thrust_eff,85,True,0.6011944456155133,land,-21.203854121267796,-17.64662633650005,eta15_y0.25,0.008794975254912943,15.080889016389847,-6.181424157693982,3.06922416202724,0.30167840194662443,43,-15.794224198907614,0.5032661595199172,-17.18566594645381,-9.78327302634716,0.005326221059554263,1.80358333684654,4.903366833925247,23.05194854736328,37.55262605845928,19.559338688850403,0.25
61,21234.473910704255,5085.463097020984,1036.3176955841482,-2.4430787265300755,4.87515204548836,0.6126603484153748,-11.357429605722428,-2.3673297800123696,-14.242131105065347,2.8784747086465368,-4.306586953997613,thrust_eff,95,True,0.6051126537479679,land,-6.010510446503758,22.48572283424437,eta15_y0.25,0.03637036838322634,24.906672835350037,-14.871232490986586,18.341999035328627,1.0405226358895037,44,-10.698758391663432,2.621366052482648,2.8775006905198097,-1.5166106075048447,0.03670398195184857,1.8153379612439036,-3.7157439962029457,31.14168620109558,739.3274607136846,-479.0521977469325,0.25
52,19081.050634905696,12866.224575042725,799.7620637528598,0.05198802798986435,-11.594555202126504,1.6911386623978615,-1.4899989455938343,3.9005952961742887,9.140560680627825,5.331822495907546,9.292717328667642,thrust_eff,58,True,0.6016857914132566,land,-17.994406772777438,15.998186031356454,eta15_y0.25,0.020282976024205212,37.08429075777531,-23.749847197905183,-3.0379259027540684,0.7043229590416443,45,-2.2222393192350864,0.9537349262423808,-15.98290994297713,11.85819947719574,0.006120242098778098,1.8050573742397698,21.403004115447402,20.27977991104126,-471.0494013503194,-685.2972317487001,0.25
70,8467.699465453625,2586.166039481759,1376.2668575160205,-3.9170958884060387,1.4775460928678523,-2.0758744664490227,8.156475922465326,-0.6358196027576923,-7.725656211376191,-4.861697126179934,-8.725565251708032,thrust_eff,110,True,0.6010933227757199,land,0.05722087807953358,-7.904317602515221,eta15_y0.25,0.005253735275769631,-33.124492317438126,24.884991766884923,22.374007292091846,0.19354582895843583,46,14.35088012367487,0.26437119833011863,7.644811156205833,-4.010262742638588,0.0023911824479052606,1.8032799683271599,10.206608666107059,48.56773090362549,484.2108367010951,698.6426901072264,0.25
33,14006.549485772848,20371.15837879479,323.4408460557461,3.0634082928299913,-4.8208383321762085,-4.675788816064597,-8.933634477853776,-4.007409978657962,-5.46426285803318,0.3343522623181343,-1.211598283052444,thrust_eff,67,True,0.7028643309856899,land,22.287965659052134,0.19678305834531784,eta15_y0.25,0.0930082255301909,-6.892537176609039,8.77330880612135,6.41008079983294,1.6530070421217076,47,9.255319787189364,4.217185985914139,-21.16683675441891,-7.752389386296272,0.03819890302382511,1.811394326704977,1.2934633996337652,14.91320538520813,285.99435836076736,-265.13244677335024,0.25
40,10162.806783765554,19396.4599262923,497.69298899918795,-2.1214206553995614,12.77017784714699,5.171982463449241,0.6330596655607224,-3.884344976395369,-7.505317836999894,-3.9172958694398408,5.240563005208969,thrust_eff,352,False,inf,no_recovery,1.0592379607260227,23.135294672101736,eta15_y1.5,nan,16.955235451459885,19.0353250131011,4.51172012835741,nan,0,15.783858671784401,nan,-0.22914819419384003,10.81572874635458,nan,nan,25.123582079075277,46.558327198028564,-113.55709210038185,-417.47618559747934,1.5
60,22003.51373590529,9733.150017410517,988.4210484102368,5.99024210125208,-3.1153085768222812,-4.784041263163091,-7.2134568303823485,0.5851454548537731,9.803853964805604,3.262239608913661,-5.569043809175492,thrust_eff,400,False,inf,no_recovery,-17.38814590498805,-3.1025650445371866,eta15_y1.5,nan,-12.838575467467308,-20.21931642666459,-20.723187271505594,nan,1,-3.6693564616143703,nan,-21.430216832086444,-3.7398790642619133,nan,nan,5.3820998733863235,92.08312678337097,154.83968183398247,404.02188654989004,1.5
68,16958.004743754864,7296.555628404021,1198.2591574080288,2.978590093553067,-9.72909208238125,1.5873269028961658,-0.2570648968219764,-0.4775525741279125,-6.135135957598687,2.3915318995714197,11.910821118950846,thrust_eff,400,False,inf,no_recovery,23.286500992253423,-18.562558572739363,eta15_y1.5,nan,23.027891218662262,9.954748721793294,13.530180463567376,nan,2,10.701672872528434,nan,-15.172692481428385,1.0465024933218956,nan,nan,17.241653374396265,124.24542045593262,-874.2735872045159,883.9110676199198,1.5
54,4204.81905259192,4797.610537484288,850.7191375829279,4.126091245561839,-12.605506896972658,-0.024181567132472992,5.2013723105192184,-2.490366127341986,-1.4327234566211704,-4.9621393382549295,0.23548960983753275,thrust_eff,400,False,inf,no_recovery,-20.647471072152257,0.8441607933491468,eta15_y1.5,nan,-34.995635598897934,-0.3377179615199566,20.728640956804156,nan,3,-14.346344117075205,nan,-11.49883943144232,4.664905361831188,nan,nan,21.882743866182864,91.46992897987366,-574.27844312042,-638.3940210565925,1.5
70,9279.889734685421,12311.157532930374,1335.8260614797473,1.1375099010765553,-6.949786081910134,3.3441967405378827,12.196765601634983,2.4102219007909307,12.270349618792537,-1.466168325394392,-10.156986898183824,thrust_eff,400,False,inf,no_recovery,13.973918743431568,16.54871804639697,eta15_y1.5,nan,4.796457514166832,16.559293726459146,-13.572303391993046,nan,4,21.38028289191425,nan,-16.35405260603875,-2.7245056852698326,nan,nan,0.7419531503692269,195.43494820594788,421.82103730738163,-211.18331775069237,1.5
54,17641.272818371654,21955.000400319695,846.3124645873904,-3.5066860467195515,9.895026728510857,-3.705516859889031,-4.705873757600784,-5.146929647773505,-13.55720934569836,0.4362938292324543,7.8035127460956595,thrust_eff,400,False,inf,no_recovery,-5.445306934416294,-8.822443941608071,eta15_y1.5,nan,-5.016655921936035,-16.058918880298734,11.03414474055171,nan,5,-9.26425433717668,nan,-5.304377232678235,6.910327546298504,nan,nan,14.29491647426039,104.26115679740906,-435.0036319345236,197.83199205994606,1.5
70,14520.575602725148,5378.0021169781685,1307.123094983399,0.27645403146743774,-11.119725215435029,-0.8253758959472179,6.240275117754937,3.6524765118956575,5.7200370222330115,-2.8523608110845093,-0.41438388526439596,thrust_eff,297,False,inf,no_recovery,19.4983568508178,3.1394968274980783,eta15_y1.5,nan,-38.38335685431957,-12.733014021068811,0.04782923497259617,nan,6,-16.876669647172093,nan,3.9830109756439924,-5.989520765841007,nan,nan,18.659298038110137,104.8218183517456,-290.6549245119095,-773.7383767962456,1.5
