y_eng_m,a_x,a_y,a_z,roll_degs2,pitch_degs2,yaw_degs2,roll_ratio,pitch_ratio,yaw_ratio
0.950,0.773779,0.773779,6.07185,312.751,148.465,85.2453,2.1066,1.0000,2.4780
0.960,0.773779,0.773779,6.07185,315.142,148.465,85.7805,2.1227,1.0000,2.4936
0.970,0.773779,0.773779,6.07185,317.533,148.465,86.3157,2.1388,1.0000,2.5092
0.980,0.773779,0.773779,6.07185,319.923,148.465,86.8509,2.1549,1.0000,2.5247
0.990,0.773779,0.773779,6.07185,322.314,148.465,87.3861,2.1710,1.0000,2.5403
1.000,0.773779,0.773779,6.07185,324.704,148.465,87.9213,2.1871,1.0000,2.5558
1.010,0.773779,0.773779,6.07185,327.095,148.465,88.4565,2.2032,1.0000,2.5714
1.020,0.773779,0.773779,6.07185,329.485,148.465,88.9917,2.2193,1.0000,2.5870
1.030,0.773779,0.773779,6.07185,331.876,148.465,89.5269,2.2354,1.0000,2.6025
1.040,0.773779,0.773779,6.07185,334.266,148.465,90.0621,2.2515,1.0000,2.6181
1.050,0.773779,0.773779,6.07185,336.657,148.465,90.5974,2.2676,1.0000,2.6336
1.060,0.773779,0.773779,6.07185,339.047,148.465,91.1326,2.2837,1.0000,2.6492
1.070,0.773779,0.773779,6.07185,341.438,148.465,91.6678,2.2998,1.0000,2.6647
1.080,0.773779,0.773779,6.07185,343.828,148.465,92.203,2.3159,1.0000,2.6803
1.090,0.773779,0.773779,6.07185,346.219,148.465,92.7382,2.3320,1.0000,2.6959
1.100,0.773779,0.773779,6.07185,348.609,148.465,93.2734,2.3481,1.0000,2.7114
1.110,0.773779,0.773779,6.07185,351,148.465,93.8086,2.3642,1.0000,2.7270
1.120,0.773779,0.773779,6.07185,353.39,148.465,94.3438,2.3803,1.0000,2.7425
1.130,0.773779,0.773779,6.07185,355.781,148.465,94.879,2.3964,1.0000,2.7581
1.140,0.773779,0.773779,6.07185,358.171,148.465,95.4143,2.4125,1.0000,2.7737
1.150,0.773779,0.773779,6.07185,360.562,148.465,95.9495,2.4286,1.0000,2.7892
1.160,0.773779,0.773779,6.07185,362.952,148.465,96.4847,2.4447,1.0000,2.8048
1.170,0.773779,0.773779,6.07185,365.343,148.465,97.0199,2.4608,1.0000,2.8203
1.180,0.773779,0.773779,6.07185,367.733,148.465,97.5551,2.4769,1.0000,2.8359
1.190,0.773779,0.773779,6.07185,370.124,148.465,98.0903,2.4930,1.0000,2.8514
1.200,0.773779,0.773779,6.07185,372.515,148.465,98.6255,2.5091,1.0000,2.8670
1.210,0.773779,0.773779,6.07185,374.905,148.465,99.1607,2.5252,1.0000,2.8826
1.220,0.773779,0.773779,6.07185,377.296,148.465,99.6959,2.5413,1.0000,2.8981
1.230,0.773779,0.773779,6.07185,379.686,148.465,100.231,2.5574,1.0000,2.9137
1.240,0.773779,0.773779,6.07185,382.077,148.465,100.766,2.5735,1.0000,2.9292
1.250,0.773779,0.773779,6.07185,384.467,148.465,101.302,2.5896,1.0000,2.9448
1.260,0.773779,0.773779,6.07185,386.858,148.465,101.837,2.6057,1.0000,2.9604
1.270,0.773779,0.773779,6.07185,389.248,148.465,102.372,2.6218,1.0000,2.9759
1.280,0.773779,0.773779,6.07185,391.639,148.465,102.907,2.6379,1.0000,2.9915
1.290,0.773779,0.773779,6.07185,394.029,148.465,103.442,2.6540,1.0000,3.0070
1.300,0.773779,0.773779,6.07185,396.42,148.465,103.978,2.6701,1.0000,3.0226
1.310,0.773779,0.773779,6.07185,398.81,148.465,104.513,2.6862,1.0000,3.0381
1.320,0.773779,0.773779,6.07185,401.201,148.465,105.048,2.7023,1.0000,3.0537
1.330,0.773779,0.773779,6.07185,403.591,148.465,105.583,2.7184,1.0000,3.0693
1.340,0.773779,0.773779,6.07185,405.982,148.465,106.118,2.7345,1.0000,3.0848
1.350,0.773779,0.773779,6.07185,408.372,148.465,106.654,2.7506,1.0000,3.1004
1.360,0.773779,0.773779,6.07185,410.763,148.465,107.189,2.7667,1.0000,3.1159
1.370,0.773779,0.773779,6.07185,413.153,148.465,107.724,2.7828,1.0000,3.1315
1.380,0.773779,0.773779,6.07185,415.544,148.465,108.259,2.7989,1.0000,3.1471
