N,T1,T2,alt,dp1,dp1_dot,dp2,dp2_dot,dy1,dy1_dot,dy2,dy2_dot,fault,iters,lands,margin,outcome,p,phi,pos_err,psi,q,r,rate_deg,regime,sample,section,structure,theta,tilt_deg,u,v,v_horiz,v_vert,w,wall,x_E,y_E
30,5427.4069671226025,9232.005773158617,178.85187484323978,0.2090219482779503,3.7141259908676147,-0.8453286588191986,4.2043983191251755,-2.9445487782359123,6.889547511935234,-2.9975617080926895,-4.67614933848381,engine_out,188,False,inf,no_recovery,-13.737734615802765,-12.582906275987625,nan,17.417808026075363,0.9776690006256104,-7.096289187669754,nan,low_late,4,2.1 / 3.1,structural,18.286554217338562,nan,0.8633477939292789,12.066511128097773,nan,nan,28.095676352269948,22.894099950790405,-2.580402046442032,-69.21800300478935
30,4024.8555475674743,5531.122454938491,95.51612496376038,-2.5572413876652718,-4.717577755451202,-2.245781734585762,-1.7632938921451569,3.59604062885046,-3.192900314927101,0.6001531258225441,6.00973279774189,engine_out,252,False,inf,no_recovery,15.88128399848938,14.56295670568943,nan,35.0087471306324,2.7691144049167633,-2.739957958459854,nan,low_late,5,2.1 / 3.1,structural,6.126494370400906,nan,7.36439120490104,-9.384593572467566,nan,nan,28.670047683641315,28.939741134643555,-40.26685021817684,136.64387725293636
30,6583.210778968589,6940.595040586166,166.42659671604633,0.6830923110246658,4.086219564080238,0.435666523873806,1.197448492050171,-1.5214126780629158,0.04123292863368988,-3.9052708968520164,-1.8739252835512161,engine_out,172,False,inf,no_recovery,-9.220762133598328,-14.33781611174345,nan,-15.247298032045364,-12.48551744222641,10.78731620311737,nan,low_late,6,2.1 / 3.1,structural,-23.410484701395035,nan,-19.05880135949701,9.744755327701569,nan,nan,12.411587942391634,20.655110359191895,111.55863106250763,-129.82418686151505
30,5868.779533402092,3989.208922520239,90.94572311267257,-1.445758081972599,-2.4120072722434998,2.2119922786951065,-5.7652726620435715,-3.1992993280291557,4.371361002326012,2.1307597532868385,-5.742198333144188,engine_out,267,False,inf,no_recovery,-7.117454886436462,7.697732925415039,nan,-34.524074867367744,-3.530581384897232,6.213787257671356,nan,low_late,7,2.1 / 3.1,structural,-12.3445705473423,nan,-2.565736356191337,6.167610939592123,nan,nan,11.493641528300941,30.735342502593994,39.59660045802593,8.963333815336227
30,8425.897908471763,8218.018561391858,162.25807217881083,3.3218583911657333,2.7845477014780045,-0.4029766395688057,5.195376321673393,1.1832287684082985,-7.394505754113197,-1.372635804116726,2.3897245973348618,engine_out,203,False,inf,no_recovery,1.777489423751831,-7.035069592297077,nan,14.599166139960289,13.247960925102234,-14.259196251630783,nan,low_late,8,2.1 / 3.1,structural,17.373454056680202,nan,-11.347620612941682,-5.76557906717062,nan,nan,21.42400221992284,23.60974907875061,-112.44563981890678,-2.888963744044304
30,6169.561385718465,8982.764702197857,199.13286175578833,1.892506755888462,1.4996711611747742,3.7618260830640793,-3.3572901636362076,0.1844578981399536,-4.265023842453957,1.0984376594424248,4.361291348934174,engine_out,264,False,inf,no_recovery,-15.702363342046738,3.710419900715351,nan,-20.096019133925438,-6.529767692089081,-8.956890136003494,nan,low_late,9,2.1 / 3.1,structural,-5.744101136922836,nan,-14.970565526746213,-2.18576467782259,nan,nan,25.561352892778814,28.769306182861328,-152.04129964113235,88.68950307369232
30,9159.832889292611,8673.780663019517,146.27407791092992,2.514105498790741,0.007363989949226379,3.485489346086979,-2.3637696653604507,-3.9379465878009796,5.7680614441633224,2.7234810888767242,-2.572776183485985,erosion_drift,41,True,0.6010805269559358,land,3.7816728055477142,2.046357437968254,0.0012209808264856505,-27.89749503135681,-11.260437071323395,-1.6798405349254608,0.032704720036986365,low_late,0,2.10,time-varying multiplicative,-1.4642949774861336,0.05836933505578771,-4.263169062323868,7.997953701764345,0.00042156644418563696,1.8032415808678075,18.889646573923528,9.088502168655396,-61.13053262233734,33.344220742583275
30,7435.148600832908,6691.348854742817,185.58813210576773,1.4966740310192108,6.87171895802021,-3.4566599652171135,-6.365963995456696,3.357637271285057,-2.6677211076021194,0.0075199902057647705,1.1830459386110306,erosion_drift,84,True,0.6011381494171938,land,-11.217069894075394,22.962392419576645,0.002176766033373555,22.256572619080544,10.006294250488281,5.147905707359314,0.04915879939550914,low_late,1,2.10,time-varying multiplicative,7.627810180187225,0.1099186975906917,5.489914226345718,-4.013222772628069,0.0009358217722164867,1.8034144482515813,14.945917839184403,12.266000509262085,61.80085018277168,111.86626181006432
30,4296.909745835809,7337.683426023001,148.1579184345901,3.7860123440623283,5.406655550003052,0.815579891204834,0.20649147033691406,2.3530070409178734,-1.5538489371538162,-0.28019608557224274,7.067954272031784,erosion_drift,49,True,0.6012343185659152,land,5.263038456439972,-19.2839847356081,0.004059184420810243,-13.048850074410439,-1.7244876027107239,3.575947344303131,0.08426586140831215,low_late,2,2.10,time-varying multiplicative,-26.242674596607685,0.2122150114426955,8.566521848551929,-0.43598437681794167,0.001934256922520198,1.8037029556977457,5.741433013230562,9.335006952285767,1.8804118037223816,-197.67826981842518
30,8155.553740437288,5003.156454561273,109.89826112985611,-2.085846558213234,-3.091577932238579,2.5353269055485725,-4.772456452250481,0.9223729148507118,-5.8450730592012405,1.5058023780584335,3.4408621191978455,erosion_drift,27,True,0.6011338171414888,land,11.397524178028107,12.820904098451138,0.0019274010309129732,-37.32555076479912,-14.261336594820023,15.422943353652954,0.04494626713880334,low_late,3,2.10,time-varying multiplicative,-8.00933337956667,0.09631896048015767,-8.200520710088313,-10.77664852142334,0.0007879853568783533,1.8034014514244665,18.165360721759498,8.27744174003601,148.47612045705318,62.75300718843937
