579 of 800 rows produced a trajectory; re-solving those to keep it
  [traj] 350/579  3995s elapsed
  [traj] 351/579  3997s elapsed
  [traj] 352/579  4006s elapsed
  [traj] 353/579  4010s elapsed
  [traj] 354/579  4017s elapsed
  [traj] 355/579  4018s elapsed
  [traj] 356/579  4022s elapsed
  [traj] 357/579  4031s elapsed
  [traj] 358/579  4033s elapsed
  [traj] 359/579  4037s elapsed
  [traj] 360/579  4042s elapsed
  [traj] 361/579  4043s elapsed
  [traj] 362/579  4050s elapsed
  [traj] 363/579  4051s elapsed
  [traj] 364/579  4058s elapsed
  [traj] 365/579  4059s elapsed
  [traj] 366/579  4059s elapsed
  [traj] 367/579  4070s elapsed
  [traj] 368/579  4072s elapsed
  [traj] 369/579  4072s elapsed
  [traj] 370/579  4075s elapsed
  [traj] 371/579  4077s elapsed
  [traj] 372/579  4086s elapsed
  [traj] 373/579  4093s elapsed
  [traj] 374/579  4094s elapsed
  [traj] 375/579  4094s elapsed
  [traj] 376/579  4097s elapsed
  [traj] 377/579  4099s elap  [t  [traj] 378/579  4111s elapsed
  [traj] 379/579  4114s elapsed
  [traj] 380/579  4115s elapsed
  [traj] 381/579  4116s elapsed
  [traj] 382/579  4118s elapsed
  [traj] 383/579  4125s elapsed
  [traj] 384/579  4134s elapsed
  [traj] 385/579  4136s elapsed
  [traj] 386/579  4136s elapsed
  [traj] 387/579  4140s elapsed
  [traj] 388/579  4140s elap  [t  [traj] 389/579  4150s elapsed
  [traj] 390/579  4150s elapsed
  [traj] 391/579  4158s elapsed
  [traj] 392/579  4160s elapsed
  [traj] 393/579  4162s elapsed
  [traj] 394/579  4162s elap  [traj] 395/579  4218s elapsed
  [t  [traj] 396/579  4177s elapsed
  [traj] 397/579  4179s elap  [traj] 398/579  4232s elapsed
  [traj] 399/579  4232s elapsed
  [traj] 400/579  4238s elapsed
  [t  [traj] 401/579  4197s elapsed
  [traj] 402/579  4198s elapsed
  [traj] 403/579  4200s elap  [traj] 404/579  4255s elapsed
  [traj] 405/579  4259s elapsed
  [t  [traj] 406/579  4214s elapsed
  [traj] 407/579  4215s elapsed
  [traj] 408/579  4218s elap  [traj] 409/579  4277s elapsed
  [traj] 410/579  4278s elapsed
  [t  [traj] 411/579  4231s elap  [traj] 412/579  4286s elapsed
  [traj] 413/579  4290s elapsed
  [traj] 414/579  4297s elapsed
  [traj] 415/579  4297s elapsed
  [t  [traj] 416/579  4247s elap  [traj] 417/579  4306s elapsed
  [traj] 418/579  4311s elapsed
  [traj] 419/579  4317s elapsed
  [traj] 420/579  4317s elapsed
  [traj] 421/579  4322s elapsed
  [traj] 422/579  4324s elapsed
  [traj] 423/579  4330s elapsed
  [traj] 424/579  4334s elapsed
  [traj] 425/579  4337s elapsed
  [traj] 426/579  4342s elapsed
  [traj] 427/579  4345s elapsed
  [traj] 428/579  4350s elapsed
  [traj] 429/579  4356s elapsed
  [traj] 430/579  4362s elapsed
  [traj] 431/579  4363s elapsed
  [traj] 432/579  4368s elapsed
  [traj] 433/579  4370s elapsed
  [traj] 434/579  4379s elapsed
  [traj] 435/579  4380s elapsed
  [traj] 436/579  4382s elapsed
  [traj] 437/579  4388s elapsed
  [traj] 438/579  4393s elapsed
  [traj] 439/579  4401s elapsed
  [traj] 440/579  4402s elapsed
  [traj] 441/579  4407s elapsed
  [traj] 442/579  4413s elapsed
  [traj] 443/579  4413s elapsed
  [traj] 444/579  4423s elapsed
  [traj] 445/579  4426s elapsed
  [traj] 446/579  4429s elapsed
  [traj] 447/579  4434s elapsed
  [traj] 448/579  4440s elapsed
  [traj] 449/579  4453s elapsed
  [traj] 450/579  4469s elapsed
  [traj] 451/579  4469s elapsed
  [traj] 452/579  4486s elapsed
