Study G — 16 faults x 5 regimes x 10 ICs = 800 solves
  [approach] admissible 1.000 (128/128); rejects: {}
  [dispersed] admissible 0.875 (112/128); rejects: {'outside_glide_cone': 16}
  [upset] admissible 1.000 (128/128); rejects: {}
  [low_late] admissible 0.797 (102/128); rejects: {'outside_glide_cone': 26}
  [critical] admissible 0.828 (106/128); rejects: {'outside_glide_cone': 22}
  [G] 307/800  3571s elapsed
  [G] 308/800  3571s elapsed
  [G] 309/800  3578s elapsed
  [G] 310/800  3593s elapsed
  [G] 311/800  3596s elapsed
  [G] 312/800  3608s elapsed
  [G] 313/800  3610s elapsed
  [G] 314/800  3614s elapsed
  [G] 315/800  3628s elapsed
  [G] 316/800  3631s elapsed
  [G] 317/800  3633s elapsed
  [G] 318/800  3639s elapsed
  [G] 319/800  3645s elapsed
  [G] 320/800  3650s elapsed
  [G] 321/800  3660s elapsed
  [G] 322/800  3663s elapsed
  [G] 323/800  3669s elapsed
  [G] 324/800  3670s elapsed
  [G] 325/800  3677s elapsed
  [G] 326/800  3682s elapsed
  [G] 327/800  3691s elapsed
  [G] 328/800  3700s elapsed
  [G] 329/800  3703s elapsed
  [G] 330/800  3707s elapsed
  [G] 331/800  3707s elapsed
  [G] 332/800  3708s elapsed
  [G] 333/800  3724s elapsed
  [G] 334/800  3727s elapsed
  [G] 335/800  3730s elapsed
  [G] 336/800  3730s elapsed
  [G] 337/800  3733s elapsed
  [G] 338/800  3750s elapsed
  [G] 339/800  3757s elapsed
  [G] 340/800  3760s elapsed
  [G] 341/800  3869s elapsed
  [G] 342/800  3897s elapsed
  [G] 343/800  3900s elapsed
  [G] 344/800  3920s elapsed
  [G] 345/800  3964s elapsed
  [G] 346/800  4006s elapsed
  [G] 347/800  4029s elapsed
  [G] 348/800  4036s elapsed
  [G] 349/800  4049s elapsed
  [G] 350/800  4058s elapsed
  [G] 351/800  4066s elapsed
  [G] 352/800  4072s elapsed
  [G] 353/800  4078s elapsed
  [G] 354/800  4082s elapsed
  [G] 355/800  4094s elapsed
  [G] 356/800  4095s elapsed
  [G] 357/800  4107s elapsed
  [G] 358/800  4113s elapsed
  [G] 359/800  4120s elapsed
  [G] 360/800  4120s elapsed
  [G] 361/800  4125s elapsed
  [G] 362/800  4125s elapsed
  [G] 363/800  4146s elapsed
  [G] 364/800  4147s elapsed
  [G] 365/800  4151s elapsed
  [G] 366/800  4153s elapsed
  [G] 367/800  4154s elapsed
  [G] 368/800  4172s elapsed
  [G] 369/800  4196s elapsed
  [G] 370/800  4198s elapsed
  [G] 371/800  4242s elapsed
  [G] 372/800  4281s elapsed
  [G] 373/800  4305s elapsed
  [G] 374/800  4332s elapsed
  [G] 375/800  4342s elapsed
  [G] 376/800  4359s elapsed
  [G] 377/800  4384s elapsed
  [G] 378/800  4402s elapsed
  [G] 379/800  4408s elapsed
  [G] 380/800  4434s elapsed
  [G] 381/800  4443s elapsed
  [G] 382/800  4448s elapsed
  [G] 383/800  4451s elapsed
  [G] 384/800  4464s elapsed
  [G] 385/800  4469s elapsed
  [G] 386/800  4469s elapsed
  [G] 387/800  4472s elapsed
  [G] 388/800  4486s elapsed
  [G] 389/800  4488s elapsed
  [G] 390/800  4490s elapsed
  [G] 391/800  4508s elapsed
  [G] 392/800  4509s elapsed
  [G] 393/800  4522s elapsed
  [G] 394/800  4528s elapsed
  [G] 395/800  4539s elapsed
  [G] 396/800  4541s elapsed
  [G] 397/800  4551s elapsed
  [G] 398/800  4563s elapsed
  [G] 399/800  4565s elapsed
  [G] 400/800  4569s elapsed
  [G] 401/800  4571s elapsed
  [G] 402/800  4586s elapsed
  [G] 403/800  4590s elapsed
  [G] 404/800  4594s elapsed
  [G] 405/800  4607s elapsed
  [G] 406/800  4609s elapsed
  [G] 407/800  4614s elapsed
  [G] 408/800  4614s elapsed
  [G] 409/800  4619s elapsed
  [G] 410/800  4630s elapsed
  [G] 411/800  4632s elapsed
  [G] 412/800  4648s elapsed
  [G] 413/800  4650s elapsed
  [G] 414/800  4651s elapsed
  [G] 415/800  4661s elapsed
  [G] 416/800  4666s elapsed
  [G] 417/800  4679s elapsed
  [G] 418/800  4683s elapsed
  [G] 419/800  4688s elapsed
  [G] 420/800  4690s elapsed
  [G] 421/800  4692s elapsed
  [G] 422/800  4696s elapsed
  [G] 423/800  4713s elapsed
  [G] 424/800  4716s elapsed
  [G] 425/800  4718s elapsed
  [G] 426/800  4719s elapsed
  [G] 427/800  4721s elapsed
  [G] 428/800  4739s elapsed
  [G] 429/800  4739s elapsed
  [G] 430/800  4742s elapsed
  [G] 431/800  4746s elapsed
  [G] 432/800  4756s elapsed
  [G] 433/800  4767s elapsed
  [G] 434/800  4770s elapsed
  [G] 435/800  4776s elapsed
  [G] 436/800  4780s elapsed
  [G] 437/800  4781s elapsed
  [G] 438/800  4796s elapsed
  [G] 439/800  4797s elapsed
  [G] 440/800  4798s elapsed
  [G] 441/800  4805s elapsed
  [G] 442/800  4805s elapsed
  [G] 443/800  4817s elapsed
  [G] 444/800  4827s elapsed
  [G] 445/800  4827s elapsed
  [G] 446/800  4828s elapsed
  [G] 447/800  4835s elapsed
  [G] 448/800  4842s elapsed
  [G] 449/800  4852s elapsed
  [G] 450/800  4852s elapsed
  [G] 451/800  4853s elapsed
  [G] 452/800  4857s elapsed
  [G] 453/800  4871s elapsed
  [G] 454/800  4879s elapsed
  [G] 455/800  4879s elapsed
  [G] 456/800  4881s elapsed
  [G] 457/800  4885s elapsed
  [G] 458/800  4902s elapsed
  [G] 459/800  4905s elapsed
  [G] 460/800  4908s elapsed
  [G] 461/800  4910s elapsed
  [G] 462/800  4924s elapsed
  [G] 463/800  4933s elapsed
  [G] 464/800  4933s elapsed
  [G] 465/800  4937s elapsed
  [G] 466/800  4943s elapsed
  [G] 467/800  4943s elapsed
  [G] 468/800  4963s elapsed
  [G] 469/800  4965s elapsed
  [G] 470/800  4965s elapsed
  [G] 471/800  4971s elapsed
  [G] 472/800  4972s elapsed
  [G] 473/800  4992s elapsed
  [G] 474/800  4992s elapsed
  [G] 475/800  4994s elapsed
