Study F — 48 initial conditions x 12 plants = 576 solves
  admissible fraction 0.883 of the raw box (226/256); rejects: {'outside_glide_cone': 30}
  [F] 285/576  6040s elapsed
  [F] 286/576  6040s elapsed
  [F] 287/576  6052s elapsed
  [F] 288/576  6066s elapsed
  [F] 289/576  6074s elapsed
  [F] 290/576  6092s elapsed
  [F] 291/576  6098s elapsed
  [F] 292/576  6117s elapsed
  [F] 293/576  6140s elapsed
  [F] 294/576  6153s elapsed
  [F] 295/576  6157s elapsed
  [F] 296/576  6161s elapsed
  [F] 297/576  6171s elapsed
  [F] 298/576  6197s elapsed
  [F] 299/576  6204s elapsed
  [F] 300/576  6204s elapsed
  [F] 301/576  6242s elapsed
  [F] 302/576  6243s elapsed
  [F] 303/576  6253s elapsed
  [F] 304/576  6257s elapsed
  [F] 305/576  6283s elapsed
  [F] 306/576  6285s elapsed
  [F] 307/576  6301s elapsed
  [F] 308/576  6304s elapsed
  [F] 309/576  6320s elapsed
  [F] 310/576  6326s elapsed
  [F] 311/576  6327s elapsed
  [F] 312/576  6343s elapsed
  [F] 313/576  6362s elapsed
  [F] 314/576  6365s elapsed
  [F] 315/576  6402s elapsed
  [F] 316/576  6412s elapsed
  [F] 317/576  6421s elapsed
  [F] 318/576  6439s elapsed
  [F] 319/576  6440s elapsed
  [F] 320/576  6459s elapsed
  [F] 321/576  6468s elapsed
  [F] 322/576  6470s elapsed
  [F] 323/576  6493s elapsed
  [F] 324/576  6499s elapsed
  [F] 325/576  6512s elapsed
  [F] 326/576  6527s elapsed
  [F] 327/576  6529s elapsed
  [F] 328/576  6552s elapsed
  [F] 329/576  6555s elapsed
  [F] 330/576  6568s elapsed
  [F] 331/576  6569s elapsed
  [F] 332/576  6583s elapsed
  [F] 333/576  6593s elapsed
  [F] 334/576  6600s elapsed
  [F] 335/576  6609s elapsed
  [F] 336/576  6610s elapsed
  [F] 337/576  6633s elapsed
  [F] 338/576  6647s elapsed
  [F] 339/576  6651s elapsed
  [F] 340/576  6660s elapsed
  [F] 341/576  6670s elapsed
  [F] 342/576  6675s elapsed
  [F] 343/576  6685s elapsed
  [F] 344/576  6695s elapsed
  [F] 345/576  6707s elapsed
  [F] 346/576  6723s elapsed
  [F] 347/576  6729s elapsed
  [F] 348/576  6744s elapsed
  [F] 349/576  6749s elapsed
  [F] 350/576  6754s elapsed
  [F] 351/576  6769s elapsed
  [F] 352/576  6778s elapsed
  [F] 353/576  6783s elapsed
  [F] 354/576  6789s elapsed
  [F] 355/576  6789s elapsed
  [F] 356/576  6802s elapsed
  [F] 357/576  6805s elapsed
  [F] 358/576  6812s elapsed
  [F] 359/576  6819s elapsed
  [F] 360/576  6825s elapsed
  [F] 361/576  6836s elapsed
  [F] 362/576  6862s elapsed
  [F] 363/576  6869s elapsed
  [F] 364/576  6874s elapsed
  [F] 365/576  6891s elapsed
  [F] 366/576  6891s elapsed
  [F] 367/576  6896s elapsed
  [F] 368/576  6909s elapsed
  [F] 369/576  6911s elapsed
  [F] 370/576  6931s elapsed
  [F] 371/576  6932s elapsed
  [F] 372/576  6950s elapsed
  [F] 373/576  6967s elapsed
  [F] 374/576  6975s elapsed
  [F] 375/576  6975s elapsed
  [F] 376/576  6981s elapsed
  [F] 377/576  6989s elapsed
  [F] 378/576  6994s elapsed
  [F] 379/576  7001s elapsed
  [F] 380/576  7010s elapsed
  [F] 381/576  7016s elapsed
  [F] 382/576  7023s elapsed
  [F] 383/576  7030s elapsed
  [F] 384/576  7034s elapsed
  [F] 385/576  7060s elapsed
  [F] 386/576  7074s elapsed
  [F] 387/576  7075s elapsed
  [F] 388/576  7090s elapsed
  [F] 389/576  7100s elapsed
  [F] 390/576  7108s elapsed
  [F] 391/576  7128s elapsed
  [F] 392/576  7128s elapsed
  [F] 393/576  7135s elapsed
  [F] 394/576  7152s elapsed
  [F] 395/576  7152s elapsed
  [F] 396/576  7200s elapsed
  [F] 397/576  7206s elapsed
  [F] 398/576  7211s elapsed
  [F] 399/576  7222s elapsed
  [F] 400/576  7244s elapsed
  [F] 401/576  7250s elapsed
  [F] 402/576  7264s elapsed
  [F] 403/576  7269s elapsed
  [F] 404/576  7281s elapsed
  [F] 405/576  7291s elapsed
  [F] 406/576  7304s elapsed
  [F] 407/576  7310s elapsed
  [F] 408/576  7317s elapsed
  [F] 409/576  7350s elapsed
  [F] 410/576  7354s elapsed
  [F] 411/576  7360s elapsed
  [F] 412/576  7374s elapsed
  [F] 413/576  7378s elapsed
  [F] 414/576  7385s elapsed
  [F] 415/576  7393s elapsed
  [F] 416/576  7407s elapsed
  [F] 417/576  7415s elapsed
  [F] 418/576  7418s elapsed
  [F] 419/576  7440s elapsed
  [F] 420/576  7442s elapsed
  [F] 421/576  7458s elapsed
  [F] 422/576  7463s elapsed
  [F] 423/576  7472s elapsed
  [F] 424/576  7492s elapsed
  [F] 425/576  7494s elapsed
  [F] 426/576  7504s elapsed
  [F] 427/576  7509s elapsed
  [F] 428/576  7523s elapsed
  [F] 429/576  7531s elapsed
  [F] 430/576  7532s elapsed
  [F] 431/576  7544s elapsed
  [F] 432/576  7548s elapsed
  [F] 433/576  7563s elapsed
  [F] 434/576  7578s elapsed
  [F] 435/576  7587s elapsed
  [F] 436/576  7604s elapsed
  [F] 437/576  7620s elapsed
  [F] 438/576  7639s elapsed
  [F] 439/576  7640s elapsed
  [F] 440/576  7644s elapsed
  [F] 441/576  7654s elapsed
  [F] 442/576  7674s elapsed
  [F] 443/576  7693s elapsed
  [F] 444/576  7717s elapsed
  [F] 445/576  7725s elapsed
  [F] 446/576  7727s elapsed
  [F] 447/576  7760s elapsed
  [F] 448/576  7766s elapsed
  [F] 449/576  7769s elapsed
  [F] 450/576  7773s elapsed
  [F] 451/576  7784s elapsed
  [F] 452/576  7798s elapsed
  [F] 453/576  7803s elapsed
  [F] 454/576  7809s elapsed
  [F] 455/576  7812s elapsed
  [F] 456/576  7835s elapsed
  [F] 457/576  7842s elapsed
  [F] 458/576  7844s elapsed
  [F] 459/576  7865s elapsed
  [F] 460/576  7874s elapsed
  [F] 461/576  7895s elapsed
  [F] 462/576  7896s elapsed
  [F] 463/576  7898s elapsed
  [F] 464/576  7898s elapsed
  [F] 465/576  7916s elapsed
  [F] 466/576  7925s elapsed
  [F] 467/576  7940s elapsed
  [F] 468/576  7958s elapsed
  [F] 469/576  7962s elapsed
  [F] 470/576  7969s elapsed
  [F] 471/576  7984s elapsed
  [F] 472/576  7988s elapsed
  [F] 473/576  7992s elapsed
  [F] 474/576  7998s elapsed
  [F] 475/576  8015s elapsed
  [F] 476/576  8023s elapsed
  [F] 477/576  8025s elapsed
  [F] 478/576  8028s elapsed
  [F] 479/576  8041s elapsed
  [F] 480/576  8044s elapsed
  [F] 481/576  8071s elapsed
  [F] 482/576  8084s elapsed
  [F] 483/576  8100s elapsed
  [F] 484/576  8112s elapsed
  [F] 485/576  8116s elapsed
  [F] 486/576  8142s elapsed
  [F] 487/576  8152s elapsed
  [F] 488/576  8163s elapsed
  [F] 489/576  8171s elapsed
  [F] 490/576  8190s elapsed
  [F] 491/576  8200s elapsed
  [F] 492/576  8205s elapsed
  [F] 493/576  8223s elapsed
  [F] 494/576  8249s elapsed
  [F] 495/576  8252s elapsed
  [F] 496/576  8268s elapsed
  [F] 497/576  8292s elapsed
  [F] 498/576  8294s elapsed
  [F] 499/576  8315s elapsed
  [F] 500/576  8316s elapsed
  [F] 501/576  8330s elapsed
  [F] 502/576  8333s elapsed
  [F] 503/576  8351s elapsed
  [F] 504/576  8357s elapsed
  [F] 505/576  8366s elapsed
  [F] 506/576  8374s elapsed
  [F] 507/576  8388s elapsed
  [F] 508/576  8395s elapsed
  [F] 509/576  8409s elapsed
  [F] 510/576  8414s elapsed
  [F] 511/576  8433s elapsed
  [F] 512/576  8443s elapsed
