F_auth_frac,F_authority,F_dim,F_min_support,F_origin,F_size,F_size_frac,F_sup_frac,F_vol_frac,F_volume,M_auth_frac,M_authority,M_dim,M_min_support,M_origin,M_size,M_size_frac,M_sup_frac,M_vol_frac,M_volume,applicable,category,fault,label,n_eng,n_rcs,tier,vehicle,worst_unit
0.8604645394883659,184.99911126533087,3,-99.75526127487372,False,305281.1645872586,0.8540003499161458,-54.407919153771644,0.8540003499161458,305281.1645872586,0.8679582499057624,173.54494202663247,3,8.535718284304373,True,1064735.6726594726,0.8547018931056931,1.0,0.8547018931056931,1064735.6726594726,True,GEO Satellites,valve_stuck_open,Valve stuck open (30 % floor),2,6,engine,Meteosat Second Generation (MSG),0
0.9883732033630603,212.4993603215261,3,0.0,True,207685.1690190593,0.5809831315812305,0.0,0.5809831315812305,207685.1690190593,0.9799851299335463,195.9442894629373,3,8.535718284304373,True,895207.7704256647,0.7186157050553248,1.0,0.7186157050553248,895207.7704256647,True,GEO Satellites,rcs_out,RCS thruster dead,2,6,rcs,Meteosat Second Generation (MSG),4
0.988376513026901,212.50007189631043,3,1.3778217267696387,True,207685.16901905934,0.5809831315812306,0.7514833018363767,0.5809831315812306,207685.16901905934,0.9799811428605286,195.9434922628925,3,3.327828144319443,True,895207.7704256648,0.7186157050553248,0.3898708970326154,0.7186157050553248,895207.7704256648,True,GEO Satellites,rcs_stuck_open,RCS thruster stuck open,2,6,rcs,Meteosat Second Generation (MSG),4
0.14236383893964,1296.0183537520934,3,779.8118761259014,True,5027063470.627289,0.008894936787104017,0.8552610939773158,0.008894936787104017,5027063470.627289,0.2698133542128156,3240.0458843802335,3,1949.529690314754,True,78547866728.55139,0.0221075807244217,0.45324877803126234,0.0221075807244217,78547866728.55139,True,Crewed Vehicles,engine_out,Engine out,1,24,engine,Orion (CM + European Service Module),0
0.27100926309869394,2467.150237228813,3,884.5110846861548,True,24839469201.934174,0.043951207234081614,0.9700902757238943,0.043951207234081614,24839469201.934174,0.3793413510808933,4555.3096766865165,3,3527.100050868832,True,276251204887.1303,0.07775189914917278,0.8200202315422018,0.07775189914917278,276251204887.1303,True,Crewed Vehicles,thrust_loss_85,"Thrust reduction, $\eta$=0.15",1,24,engine,Orion (CM + European Service Module),0
0.5711819194698199,5199.791298674491,3,895.7403839688589,True,140275016326.67166,0.2482040281222136,0.9824060445434672,0.2482040281222136,140275016326.67166,0.6349066771064078,7624.258525401176,3,3845.8616663434186,True,1181526428110.6216,0.33254487964341595,0.8941295479660011,0.33254487964341595,1181526428110.6216,True,Crewed Vehicles,thrust_loss_50,"Thrust reduction, $\eta$=0.50",1,24,engine,Orion (CM + European Service Module),0
1.2572908483181076,11445.828010550327,3,921.4073537578961,True,1026585356394.1172,1.8164504794988954,1.0105563732739193,1.8164504794988954,1026585356394.1172,1.2190559937361551,14638.99875103468,3,4574.459644571045,True,5584727163774.942,1.5718416265039943,1.0635222712203993,1.5718416265039943,5584727163774.942,True,Crewed Vehicles,thrust_excess,"Thrust excess, $\eta$=1.30",1,24,engine,Orion (CM + European Service Module),0
0.9999322568087571,9102.947539103345,3,837.5308253656818,True,562900409164.302,0.996001659061343,0.9185645305898479,0.996001659061343,562900409164.302,0.9993735199893561,12000.94809927796,3,4613.881649805047,True,3547035928526.8794,0.9983260703097933,1.072687546203705,0.9983260703097933,3547035928526.8794,True,Crewed Vehicles,tvc_bias,"TVC misalignment (3°, 2°)",1,24,engine,Orion (CM + European Service Module),0
0.8755931347832921,7971.018353752092,3,795.351262413288,True,56810471906.48711,0.10052102174685607,0.8723039640883894,0.10052102174685607,56810471906.48711,0.2698133542128156,3240.0458843802335,3,1949.529690314754,True,78547866728.55139,0.0221075807244217,0.45324877803126234,0.0221075807244217,78547866728.55139,True,Crewed Vehicles,gimbal_seized,Gimbal seizure,1,24,engine,Orion (CM + European Service Module),0
0.8149488777419193,7418.939463770751,3,-6515.065414854236,False,527178909409.3964,0.932795677255669,-7.145418202302924,0.932795677255669,527178909409.3964,1.0,12008.471166422118,3,4301.235402735685,True,3552983372883.56,1.0,1.0,1.0,3552983372883.56,True,Crewed Vehicles,valve_stuck_open,Valve stuck open (30 % floor),1,24,engine,Orion (CM + European Service Module),0
0.994068257381939,9049.564243596891,3,911.7822400870073,True,556352270129.1383,0.9844153158350695,1.0,0.9844153158350695,556352270129.1383,0.9887546496681564,11873.431701205858,3,4265.706480720511,True,3461768353259.224,0.9743272033524022,0.9917398331668671,0.9743272033524022,3461768353259.224,True,Crewed Vehicles,rcs_out,RCS thruster dead,1,24,rcs,Orion (CM + European Service Module),9
0.994068257381939,9049.564243596891,3,911.7822400870073,True,556352270129.1383,0.9844153158350695,1.0,0.9844153158350695,556352270129.1383,0.9887546496681564,11873.431701205858,3,4265.706480720511,True,3461768353259.224,0.9743272033524022,0.9917398331668671,0.9743272033524022,3461768353259.224,True,Crewed Vehicles,rcs_stuck_open,RCS thruster stuck open,1,24,rcs,Orion (CM + European Service Module),8
0.06482587603239214,1779.9504850531912,3,946.821425473182,True,11279504000.000002,0.0013813397007786748,0.882947318576483,0.0013813397007786748,11279504000.000002,0.10142590590935632,3488.7029507042544,3,1855.7699939274364,True,84929431430.14401,0.0022433331352006737,0.2709387166010431,0.0022433331352006737,84929431430.14401,True,Crewed Vehicles,engine_out,Engine out,1,16,engine,Apollo Command & Service Module,0
0.2051019946275333,5631.569014821125,3,1072.3419229583017,True,162264420802.764,0.01987164386649581,1.0,0.01987164386649581,162264420802.764,0.2362120200229529,8124.88253230252,3,4120.65529321139,True,1423358790980.0457,0.03759671865590037,0.6016074515437195,0.03759671865590037,1423358790980.0457,True,Crewed Vehicles,thrust_loss_85,"Thrust reduction, $\eta$=0.15",1,16,engine,Apollo Command & Service Module,0
