N_rem,alt,fault,iters,klass,lands,margin,outcome,point,pos_err,rate_deg,rng,section,structure,t_f,tilt_0,tilt_deg,v_desc_0,v_horiz,v_horiz_0,v_vert,wall
51,159.80179157123658,erosion_drift,68,multiplicative,True,0.6010680643249879,land,8,0.005566961007331316,0.20496548279851534,739.460979388465,2.10,time-varying multiplicative,34.0,54.46242124916059,0.28175241442568005,51.75396553176433,0.0025755625539188513,30.35666463450774,1.8032041929749638,19.56138825416565
47,109.00383724834768,erosion_drift,57,multiplicative,True,0.6010578780805219,land,9,0.004847458084147581,0.1789384543351468,499.20971160107734,2.10,time-varying multiplicative,38.0,50.70774445056735,0.24496446666401295,50.32792516928573,0.0022327284279176295,32.6664963555655,1.8031736342415656,15.800715684890747
43,56.19745930050679,erosion_drift,34,multiplicative,True,0.6010524981098254,land,10,0.00410286558912027,0.15096399844905817,263.86321605494487,2.10,time-varying multiplicative,42.0,60.22259519691488,0.20660092223427617,51.90204074611806,0.0018645649226163357,19.82121159451976,1.8031574943294764,12.942201614379883
39,19.15574425039258,erosion_drift,29,multiplicative,True,0.6010263274319073,land,11,0.0035548130505798346,0.13178931405860445,87.31531456645605,2.10,time-varying multiplicative,46.0,62.88595225261751,0.1791635821404389,32.08769130694379,0.0016242037540914165,12.417934527400181,1.803078982295722,11.381661415100098
34,3.8072653166479418,erosion_drift,27,multiplicative,True,0.6010175673265926,land,12,0.002749395873962248,0.10034772562497159,17.911836815533665,2.10,time-varying multiplicative,51.0,62.865110661079726,0.13777894302978924,6.055084667661089,0.001225937244613111,5.678429528714541,1.8030527019797777,9.948286771774292
30,7.785311977454762,erosion_drift,26,multiplicative,True,0.6009888905496439,land,13,0.002397280363769883,0.0894879128267191,17.049075660045983,2.10,time-varying multiplicative,55.0,20.743017850954175,0.12067946151123594,1.924104743234002,0.0010932486614299403,4.871269687938275,1.8029666716489317,8.608935832977295
26,1.5917432622180052,erosion_drift,19,multiplicative,True,0.6009855239942933,land,14,0.001795185061035015,0.06572271369129264,1.9827376428065278,2.10,time-varying multiplicative,59.0,26.92365442634238,0.08934251410784472,1.1409760420306965,0.0007802254203111342,1.1196185188147103,1.80295657198288,6.133939981460571
85,736.4545454545455,healthy,287,none,True,0.600922706395679,land,0,8.139267118666041e-06,0.0005598108238474636,2724.0876879026487,—,none,0.0,14.999999999999998,0.00044866023697227164,29.342215215238426,4.658841698262914e-06,49.07796705149123,1.802768119187037,56.39450478553772
81,665.8843124224463,healthy,157,none,True,0.6009205785677646,land,1,9.631956426561196e-06,0.0005445724376910381,2502.283818723659,—,none,4.0,9.191669730925033,0.0005375653919617425,16.246253319313137,5.795446108487352e-06,57.758629563767805,1.8027617357032937,38.46684193611145
77,587.2765091311609,healthy,206,none,True,0.6009154228790637,land,2,1.3102199922730883e-05,0.0014840874477011397,2269.021730789497,—,none,8.0,10.22187434410048,0.000751640918566326,28.671728873929897,8.754812589589005e-06,52.70609072372358,1.8027462686371913,44.815064907073975
72,495.1487237150771,healthy,208,none,True,0.6009056564509666,land,3,7.910881135317242e-06,0.00048020094182319725,1979.5321223507726,—,none,13.0,43.14312869759706,0.00044564139329237847,4.089293894893052,4.920646028705448e-06,59.860485392628206,1.8027169693528997,39.925259590148926
68,419.08185201377603,healthy,161,none,True,0.6009039079430863,land,4,7.152146035978577e-06,0.00042642793281552567,1745.6235411771163,—,none,17.0,38.20686033111046,0.0004021267015784688,30.883072386511085,4.4166922014331654e-06,51.314722556044664,1.802711723829259,34.44624948501587
64,350.31191945099016,healthy,162,none,True,0.6009161588663215,land,5,7.925700051055478e-06,0.0002537414724994111,1512.2056558825393,—,none,21.0,22.294166351862454,0.00044365057840019023,33.79393217601729,4.810591902871393e-06,49.57792032833256,1.8027484765989645,46.229645013809204
60,282.4549151778067,healthy,151,none,True,0.6009054405801414,land,6,9.356148478857298e-06,0.0006025402383686084,1275.8782794737574,—,none,25.0,20.062292577483905,0.0005313246711516755,8.313204708071043,6.0072216975629644e-06,59.15533486164134,1.802716321740424,34.58541131019592
55,211.89971928079592,healthy,101,none,True,0.600925933598393,land,7,5.3710079653051435e-06,0.0018404439277799162,978.4891140323834,—,none,30.0,31.25107208588853,0.000306241888561869,28.06377692264284,3.502624967173942e-06,52.934654215708925,1.802777800795179,28.21644139289856
51,159.80179157123658,healthy,150,none,True,0.6009108629010821,land,8,2.963156975021315e-06,0.002379378121293414,739.460979388465,—,none,34.0,54.46242124916059,0.00017221463148783665,51.75396553176433,2.104727593586639e-06,30.35666463450774,1.8027325887032464,28.381749629974365
47,109.00383724834768,healthy,49,none,True,0.6009032591213528,land,9,2.2175981918227494e-06,0.00312284833262344,499.20971160107734,—,none,38.0,50.70774445056735,0.0001290794269324666,50.32792516928573,1.5772907393843305e-06,32.6664963555655,1.8027097773640584,16.214897871017456
43,56.19745930050679,healthy,31,none,True,0.6009076061659545,land,10,2.106980446664868e-05,0.002324892989630965,263.86321605494487,—,none,42.0,60.22259519691488,0.001215451725355803,51.90204074611806,1.4287910529173442e-05,19.82121159451976,1.8027228184978636,12.203901052474976
39,19.15574425039258,healthy,28,none,True,0.6009023694330251,land,11,1.0585097509308395e-05,0.005180898206623091,87.31531456645605,—,none,46.0,62.88595225261751,0.0006130131853910364,32.08769130694379,7.354945224901208e-06,12.417934527400181,1.8027071082990753,11.404552221298218
34,3.8072653166479418,healthy,28,none,True,0.6009013647310311,land,12,9.450212212937489e-06,0.0025436596434525996,17.911836815533665,—,none,51.0,62.865110661079726,0.0005470939536891716,6.055084667661089,6.503389017939739e-06,5.678429528714541,1.8027040941930932,9.880956172943115
30,7.785311977454762,healthy,23,none,True,0.6009011398222868,land,13,2.036166734415087e-06,0.0024020211051026127,17.049075660045983,—,none,55.0,20.743017850954175,0.00011500358126181586,1.924104743234002,1.285510183176257e-06,4.871269687938275,1.8027034194668603,8.53297472000122
26,1.5917432622180052,healthy,20,none,True,0.6009009873788062,land,14,4.219721739535211e-06,0.0026607675608120262,1.9827376428065278,—,none,59.0,26.92365442634238,0.00024352706301356212,1.1409760420306965,2.863085231456739e-06,1.1196185188147103,1.8027029621364186,7.202496767044067
85,736.4545454545455,mixture_ratio,177,multiplicative,True,0.600920356593822,land,0,2.666202186755666e-06,0.0005547113769999074,2724.0876879026487,2.4,multiplicative (coupled),0.0,14.999999999999998,0.0002040851025056694,29.342215215238426,4.059598031675389e-06,49.07796705149123,1.8027610697814662,42.830997467041016
81,665.8843124224463,mixture_ratio,94,multiplicative,True,0.6009242482616907,land,1,1.9176486936591692e-05,0.0028661786049706053,2502.283818723659,2.4,multiplicative (coupled),4.0,9.191669730925033,0.001128850308716618,16.246253319313137,1.4322898805113198e-05,57.758629563767805,1.8027727447850719,28.60524821281433
77,587.2765091311609,mixture_ratio,113,multiplicative,True,0.6009054675254945,land,2,1.4210160577900982e-05,0.004753229649540017,2269.021730789497,2.4,multiplicative (coupled),8.0,10.22187434410048,0.0008478693574189657,28.671728873929897,1.0909801410598652e-05,52.70609072372358,1.8027164025764835,30.43139886856079
72,495.1487237150771,mixture_ratio,200,multiplicative,True,0.6009194477509893,land,3,1.847212514403093e-05,0.004814853584997008,1979.5321223507726,2.4,multiplicative (coupled),13.0,43.14312869759706,0.0010893924670498083,4.089293894893052,1.376076414102144e-05,59.860485392628206,1.8027583432529677,42.276546001434326
68,419.08185201377603,mixture_ratio,195,multiplicative,True,0.6009057218289302,land,4,1.7940016905985307e-05,0.004697138957678281,1745.6235411771163,2.4,multiplicative (coupled),17.0,38.20686033111046,0.0010684576235555098,30.883072386511085,1.3620010576059632e-05,51.314722556044664,1.8027171654867906,56.395581007003784
64,350.31191945099016,mixture_ratio,121,multiplicative,True,0.6009042066499826,land,5,1.765893176220597e-05,0.004574322280439484,1512.2056558825393,2.4,multiplicative (coupled),21.0,22.294166351862454,0.0010540095385495392,33.79393217601729,1.3485137248453451e-05,49.57792032833256,1.8027126199499477,33.38407111167908
60,282.4549151778067,mixture_ratio,131,multiplicative,True,0.6009158384138852,land,6,2.102008100555676e-05,0.003360425717852287,1275.8782794737574,2.4,multiplicative (coupled),25.0,20.062292577483905,0.0012466451179810867,8.313204708071043,1.584030957116323e-05,59.15533486164134,1.8027475152416554,32.37306499481201
55,211.89971928079592,mixture_ratio,80,multiplicative,True,0.6009117927677906,land,7,2.1690152077711876e-06,0.0005364679939073856,978.4891140323834,2.4,multiplicative (coupled),30.0,31.25107208588853,0.00016318111801938816,28.06377692264284,3.04567192781765e-06,52.934654215708925,1.802735378303372,22.731970071792603
51,159.80179157123658,mixture_ratio,56,multiplicative,True,0.6009096759442545,land,8,9.498411314722476e-06,0.002071581876412786,739.460979388465,2.4,multiplicative (coupled),34.0,54.46242124916059,0.0005762505738585796,51.75396553176433,7.851797416724174e-06,30.35666463450774,1.8027290278327635,18.9798743724823
47,109.00383724834768,mixture_ratio,38,multiplicative,True,0.6009051274841456,land,9,2.3366681391957266e-06,0.0007122967682433435,499.20971160107734,2.4,multiplicative (coupled),38.0,50.70774445056735,0.0001286876567391483,50.32792516928573,1.7355062180707567e-06,32.6664963555655,1.802715382452437,14.160586595535278
43,56.19745930050679,mixture_ratio,40,multiplicative,True,0.6009073494130234,land,10,0.00016810796357351012,0.02751247915684102,263.86321605494487,2.4,multiplicative (coupled),42.0,60.22259519691488,0.01023092449235396,51.90204074611806,0.0001386589926040284,19.82121159451976,1.8027220482390702,13.88617753982544
39,19.15574425039258,mixture_ratio,30,multiplicative,True,0.600902622848338,land,11,5.2577007282946796e-05,0.007630174128414665,87.31531456645605,2.4,multiplicative (coupled),46.0,62.88595225261751,0.0031433504962452997,32.08769130694379,4.183388323235676e-05,12.417934527400181,1.8027078685450137,11.303475856781006
34,3.8072653166479418,mixture_ratio,26,multiplicative,True,0.600901252221634,land,12,1.50873286179461e-05,0.0031687215291017956,17.911836815533665,2.4,multiplicative (coupled),51.0,62.865110661079726,0.0008718335678535005,6.055084667661089,1.0413320017077694e-05,5.678429528714541,1.8027037566649022,9.83992075920105
30,7.785311977454762,mixture_ratio,24,multiplicative,True,0.6009011929021753,land,13,5.735171458865673e-07,0.0016009780559823683,17.049075660045983,2.4,multiplicative (coupled),55.0,20.743017850954175,2.1832714336908344e-05,1.924104743234002,1.8886611319772947e-07,4.871269687938275,1.8027035787065258,8.434255838394165
26,1.5917432622180052,mixture_ratio,22,multiplicative,True,0.6009011163122359,land,14,5.126773583238343e-06,0.002333682564228468,1.9827376428065278,2.4,multiplicative (coupled),59.0,26.92365442634238,0.00028350014058871266,1.1409760420306965,3.104711385447573e-06,1.1196185188147103,1.8027033489367075,6.5493292808532715
85,736.4545454545455,slow_thrust,150,multiplicative,True,0.600909319719323,land,0,8.651363454518825e-06,0.00023417295175972257,2724.0876879026487,2.5,multiplicative,0.0,14.999999999999998,0.00045110798378859325,29.342215215238426,4.101269847038499e-06,49.07796705149123,1.802727959157969,37.75139784812927
81,665.8843124224463,slow_thrust,120,multiplicative,True,0.6009093739949681,land,1,9.365662325418156e-06,0.002153879372953729,2502.283818723659,2.5,multiplicative,4.0,9.191669730925033,0.0005312792868673669,16.246253319313137,5.729094477472017e-06,57.758629563767805,1.8027281219849045,32.31084370613098
77,587.2765091311609,slow_thrust,132,multiplicative,True,0.6009086344475904,land,2,3.511275380420703e-05,0.0016098688386224516,2269.021730789497,2.5,multiplicative,8.0,10.22187434410048,0.0020524990452180955,28.671728873929897,2.440598556695322e-05,52.70609072372358,1.8027259033427712,33.8792188167572
72,495.1487237150771,slow_thrust,257,multiplicative,True,0.600919202049842,land,3,8.478226167289875e-06,0.002220140351724902,1979.5321223507726,2.5,multiplicative,13.0,43.14312869759706,0.0004856507723830126,4.089293894893052,5.242251343141931e-06,59.860485392628206,1.8027576061495258,52.99939680099487
68,419.08185201377603,slow_thrust,144,multiplicative,True,0.6009092236487057,land,4,9.194026208899733e-06,0.0022999464217450683,1745.6235411771163,2.5,multiplicative,17.0,38.20686033111046,0.0005205072537448711,30.883072386511085,5.575505751386034e-06,51.314722556044664,1.802727670946117,41.82650113105774
64,350.31191945099016,slow_thrust,113,multiplicative,True,0.6009103043522138,land,5,9.075114172827468e-06,0.002319671984346948,1512.2056558825393,2.5,multiplicative,21.0,22.294166351862454,0.0005139797596611505,33.79393217601729,5.495415928902107e-06,49.57792032833256,1.8027309130566413,33.437994718551636
